,recipe,amount,unit,ingredient,price,instruction
10,coconut-red-lentil-soup-recipe,14.0,28.4,can coconut milk,37.46,"Give the split peas and lentils a good rinse - until they no longer put off murky water. Place them in an extra-large soup pot, cover with the water, and bring to a boil. Reduce heat to a simmer and add the carrot and 1/4 of the ginger. Cover and simmer for about 30 minutes, or until the split peas are soft. In the meantime, in a small dry skillet or saucepan over low heat, toast the curry powder until it is quite fragrant. Be careful though, you don't want to burn the curry powder, just toast it. Set aside. Place the butter in a pan over medium heat, add half of the green onions, the remaining ginger, and raisins. Saute for two minutes stirring constantly, then add the tomato paste and saute for another minute or two more. Add the toasted curry powder to the tomato paste mixture, mix well, and then add this to the simmering soup along with the coconut milk and salt. Simmer, uncovered, for 20 minutes or so. The texture should thicken up, but you can play around with the consistency if you like by adding more water, a bit at a time, if you like. Or simmer longer for a thicker consistency. The thicker this soup got, the more I liked it. I've been enjoying big ladles of this soup over ~1/2 cup of warm farro (leftover from this Farro & Bean Stew) - brown rice was good as well. Sprinkle each bowl generously with cilantro and the remaining green onions."
11,coconut-red-lentil-soup-recipe,2.0,14.8,fine grain sea salt,37.46,"Give the split peas and lentils a good rinse - until they no longer put off murky water. Place them in an extra-large soup pot, cover with the water, and bring to a boil. Reduce heat to a simmer and add the carrot and 1/4 of the ginger. Cover and simmer for about 30 minutes, or until the split peas are soft. In the meantime, in a small dry skillet or saucepan over low heat, toast the curry powder until it is quite fragrant. Be careful though, you don't want to burn the curry powder, just toast it. Set aside. Place the butter in a pan over medium heat, add half of the green onions, the remaining ginger, and raisins. Saute for two minutes stirring constantly, then add the tomato paste and saute for another minute or two more. Add the toasted curry powder to the tomato paste mixture, mix well, and then add this to the simmering soup along with the coconut milk and salt. Simmer, uncovered, for 20 minutes or so. The texture should thicken up, but you can play around with the consistency if you like by adding more water, a bit at a time, if you like. Or simmer longer for a thicker consistency. The thicker this soup got, the more I liked it. I've been enjoying big ladles of this soup over ~1/2 cup of warm farro (leftover from this Farro & Bean Stew) - brown rice was good as well. Sprinkle each bowl generously with cilantro and the remaining green onions."
12,coconut-red-lentil-soup-recipe,0.0,-1.0,one small handful cilantro,37.46,"Give the split peas and lentils a good rinse - until they no longer put off murky water. Place them in an extra-large soup pot, cover with the water, and bring to a boil. Reduce heat to a simmer and add the carrot and 1/4 of the ginger. Cover and simmer for about 30 minutes, or until the split peas are soft. In the meantime, in a small dry skillet or saucepan over low heat, toast the curry powder until it is quite fragrant. Be careful though, you don't want to burn the curry powder, just toast it. Set aside. Place the butter in a pan over medium heat, add half of the green onions, the remaining ginger, and raisins. Saute for two minutes stirring constantly, then add the tomato paste and saute for another minute or two more. Add the toasted curry powder to the tomato paste mixture, mix well, and then add this to the simmering soup along with the coconut milk and salt. Simmer, uncovered, for 20 minutes or so. The texture should thicken up, but you can play around with the consistency if you like by adding more water, a bit at a time, if you like. Or simmer longer for a thicker consistency. The thicker this soup got, the more I liked it. I've been enjoying big ladles of this soup over ~1/2 cup of warm farro (leftover from this Farro & Bean Stew) - brown rice was good as well. Sprinkle each bowl generously with cilantro and the remaining green onions."
13,coconut-red-lentil-soup-recipe,0.5,1.0,cup tomato paste,37.46,"Give the split peas and lentils a good rinse - until they no longer put off murky water. Place them in an extra-large soup pot, cover with the water, and bring to a boil. Reduce heat to a simmer and add the carrot and 1/4 of the ginger. Cover and simmer for about 30 minutes, or until the split peas are soft. In the meantime, in a small dry skillet or saucepan over low heat, toast the curry powder until it is quite fragrant. Be careful though, you don't want to burn the curry powder, just toast it. Set aside. Place the butter in a pan over medium heat, add half of the green onions, the remaining ginger, and raisins. Saute for two minutes stirring constantly, then add the tomato paste and saute for another minute or two more. Add the toasted curry powder to the tomato paste mixture, mix well, and then add this to the simmering soup along with the coconut milk and salt. Simmer, uncovered, for 20 minutes or so. The texture should thicken up, but you can play around with the consistency if you like by adding more water, a bit at a time, if you like. Or simmer longer for a thicker consistency. The thicker this soup got, the more I liked it. I've been enjoying big ladles of this soup over ~1/2 cup of warm farro (leftover from this Farro & Bean Stew) - brown rice was good as well. Sprinkle each bowl generously with cilantro and the remaining green onions."
14,instant-pot-chickpea-cauliflower-korma,2.0,236.6,Indian-spiced simmer sauce,44.82,"Pour the sauce into the bottom of the Instant Pot in an even layer. Add the cauliflower, chickpeas, tomatoes, onion, garlic, and ginger. Give it all a little bit of a stir, and close the pot. Secure the lid, set the pressure release valve to SEALING. Press MANUAL for 4 minutes at high pressure.åÊ When cooking is complete, carefully QUICK RELEASE. Gently shake or tap the pressure cooker, and then carefully open away from you. Stir in half of the cilantro, and reserve the rest for serving. Scoop the korma into deep bowls and add as many toppings as you like. Pour the sauce into the bottom of the Instant Pot in an even layer. Add the cauliflower, chickpeas, tomatoes, onion, garlic, and ginger. Give it all a little bit of a stir, and close the pot. Secure the lid, set the pressure release valve to SEALING. Press MANUAL for 4 minutes at high pressure.Â "
15,instant-pot-chickpea-cauliflower-korma,1.0,-1.0,large head of cauliflower,44.82,"Pour the sauce into the bottom of the Instant Pot in an even layer. Add the cauliflower, chickpeas, tomatoes, onion, garlic, and ginger. Give it all a little bit of a stir, and close the pot. Secure the lid, set the pressure release valve to SEALING. Press MANUAL for 4 minutes at high pressure.åÊ When cooking is complete, carefully QUICK RELEASE. Gently shake or tap the pressure cooker, and then carefully open away from you. Stir in half of the cilantro, and reserve the rest for serving. Scoop the korma into deep bowls and add as many toppings as you like. Pour the sauce into the bottom of the Instant Pot in an even layer. Add the cauliflower, chickpeas, tomatoes, onion, garlic, and ginger. Give it all a little bit of a stir, and close the pot. Secure the lid, set the pressure release valve to SEALING. Press MANUAL for 4 minutes at high pressure.Â "
16,instant-pot-chickpea-cauliflower-korma,14.0,28.4,can chickpeas,44.82,"Pour the sauce into the bottom of the Instant Pot in an even layer. Add the cauliflower, chickpeas, tomatoes, onion, garlic, and ginger. Give it all a little bit of a stir, and close the pot. Secure the lid, set the pressure release valve to SEALING. Press MANUAL for 4 minutes at high pressure.åÊ When cooking is complete, carefully QUICK RELEASE. Gently shake or tap the pressure cooker, and then carefully open away from you. Stir in half of the cilantro, and reserve the rest for serving. Scoop the korma into deep bowls and add as many toppings as you like. Pour the sauce into the bottom of the Instant Pot in an even layer. Add the cauliflower, chickpeas, tomatoes, onion, garlic, and ginger. Give it all a little bit of a stir, and close the pot. Secure the lid, set the pressure release valve to SEALING. Press MANUAL for 4 minutes at high pressure.Â "
17,instant-pot-chickpea-cauliflower-korma,14.0,28.4,can of diced tomatoes,44.82,"Pour the sauce into the bottom of the Instant Pot in an even layer. Add the cauliflower, chickpeas, tomatoes, onion, garlic, and ginger. Give it all a little bit of a stir, and close the pot. Secure the lid, set the pressure release valve to SEALING. Press MANUAL for 4 minutes at high pressure.åÊ When cooking is complete, carefully QUICK RELEASE. Gently shake or tap the pressure cooker, and then carefully open away from you. Stir in half of the cilantro, and reserve the rest for serving. Scoop the korma into deep bowls and add as many toppings as you like. Pour the sauce into the bottom of the Instant Pot in an even layer. Add the cauliflower, chickpeas, tomatoes, onion, garlic, and ginger. Give it all a little bit of a stir, and close the pot. Secure the lid, set the pressure release valve to SEALING. Press MANUAL for 4 minutes at high pressure.Â "
18,instant-pot-chickpea-cauliflower-korma,1.0,-1.0,small onion,44.82,"Pour the sauce into the bottom of the Instant Pot in an even layer. Add the cauliflower, chickpeas, tomatoes, onion, garlic, and ginger. Give it all a little bit of a stir, and close the pot. Secure the lid, set the pressure release valve to SEALING. Press MANUAL for 4 minutes at high pressure.åÊ When cooking is complete, carefully QUICK RELEASE. Gently shake or tap the pressure cooker, and then carefully open away from you. Stir in half of the cilantro, and reserve the rest for serving. Scoop the korma into deep bowls and add as many toppings as you like. Pour the sauce into the bottom of the Instant Pot in an even layer. Add the cauliflower, chickpeas, tomatoes, onion, garlic, and ginger. Give it all a little bit of a stir, and close the pot. Secure the lid, set the pressure release valve to SEALING. Press MANUAL for 4 minutes at high pressure.Â "
19,instant-pot-chickpea-cauliflower-korma,4.0,-1.0,garlic cloves,44.82,"Pour the sauce into the bottom of the Instant Pot in an even layer. Add the cauliflower, chickpeas, tomatoes, onion, garlic, and ginger. Give it all a little bit of a stir, and close the pot. Secure the lid, set the pressure release valve to SEALING. Press MANUAL for 4 minutes at high pressure.åÊ When cooking is complete, carefully QUICK RELEASE. Gently shake or tap the pressure cooker, and then carefully open away from you. Stir in half of the cilantro, and reserve the rest for serving. Scoop the korma into deep bowls and add as many toppings as you like. Pour the sauce into the bottom of the Instant Pot in an even layer. Add the cauliflower, chickpeas, tomatoes, onion, garlic, and ginger. Give it all a little bit of a stir, and close the pot. Secure the lid, set the pressure release valve to SEALING. Press MANUAL for 4 minutes at high pressure.Â "
20,instant-pot-chickpea-cauliflower-korma,0.0,-1.0,One 1-inch piece of ginger,44.82,"Pour the sauce into the bottom of the Instant Pot in an even layer. Add the cauliflower, chickpeas, tomatoes, onion, garlic, and ginger. Give it all a little bit of a stir, and close the pot. Secure the lid, set the pressure release valve to SEALING. Press MANUAL for 4 minutes at high pressure.åÊ When cooking is complete, carefully QUICK RELEASE. Gently shake or tap the pressure cooker, and then carefully open away from you. Stir in half of the cilantro, and reserve the rest for serving. Scoop the korma into deep bowls and add as many toppings as you like. Pour the sauce into the bottom of the Instant Pot in an even layer. Add the cauliflower, chickpeas, tomatoes, onion, garlic, and ginger. Give it all a little bit of a stir, and close the pot. Secure the lid, set the pressure release valve to SEALING. Press MANUAL for 4 minutes at high pressure.Â "
21,instant-pot-chickpea-cauliflower-korma,1.0,236.6,chopped cilantro,44.82,"Pour the sauce into the bottom of the Instant Pot in an even layer. Add the cauliflower, chickpeas, tomatoes, onion, garlic, and ginger. Give it all a little bit of a stir, and close the pot. Secure the lid, set the pressure release valve to SEALING. Press MANUAL for 4 minutes at high pressure.åÊ When cooking is complete, carefully QUICK RELEASE. Gently shake or tap the pressure cooker, and then carefully open away from you. Stir in half of the cilantro, and reserve the rest for serving. Scoop the korma into deep bowls and add as many toppings as you like. Pour the sauce into the bottom of the Instant Pot in an even layer. Add the cauliflower, chickpeas, tomatoes, onion, garlic, and ginger. Give it all a little bit of a stir, and close the pot. Secure the lid, set the pressure release valve to SEALING. Press MANUAL for 4 minutes at high pressure.Â "
22,instant-pot-chickpea-cauliflower-korma,0.0,-1.0,a squeeze of lemon salted-smashed garlic yogurt lemon zest fresh herbs (cilantro dill etc.),44.82,"Pour the sauce into the bottom of the Instant Pot in an even layer. Add the cauliflower, chickpeas, tomatoes, onion, garlic, and ginger. Give it all a little bit of a stir, and close the pot. Secure the lid, set the pressure release valve to SEALING. Press MANUAL for 4 minutes at high pressure.åÊ When cooking is complete, carefully QUICK RELEASE. Gently shake or tap the pressure cooker, and then carefully open away from you. Stir in half of the cilantro, and reserve the rest for serving. Scoop the korma into deep bowls and add as many toppings as you like. Pour the sauce into the bottom of the Instant Pot in an even layer. Add the cauliflower, chickpeas, tomatoes, onion, garlic, and ginger. Give it all a little bit of a stir, and close the pot. Secure the lid, set the pressure release valve to SEALING. Press MANUAL for 4 minutes at high pressure.Â "
23,homemade-bouillon-recipe,5.0,28.4,/ 150 g leeks,28.07,"Place the first four ingredients in your food processor and pulse about twenty times. Add the next four ingredients, and pulse again. Add the salt, pulse some more. Then add the parsley and cilantro. You may need to scoop some of the chopped vegetables on top of the herbs, so they get chopped. Mine tended to want to stay on top of everything else, initially escaping the blades. You should end up with a moist, loose paste of sorts. Keep 1/4th of it in a jar in the refrigerator for easy access in the coming days, and freeze the remaining 3/4 for use in the next month. Because of all the salt it barely solidifies making it easy to spoon directly from the freezer into the pot before boiling. Start by using 1 teaspoon of bouillon per 1 cup (250 ml), and adjust from there based on your personal preference."
24,homemade-bouillon-recipe,7.0,28.4,/ 200g fennel bulb,28.07,"Place the first four ingredients in your food processor and pulse about twenty times. Add the next four ingredients, and pulse again. Add the salt, pulse some more. Then add the parsley and cilantro. You may need to scoop some of the chopped vegetables on top of the herbs, so they get chopped. Mine tended to want to stay on top of everything else, initially escaping the blades. You should end up with a moist, loose paste of sorts. Keep 1/4th of it in a jar in the refrigerator for easy access in the coming days, and freeze the remaining 3/4 for use in the next month. Because of all the salt it barely solidifies making it easy to spoon directly from the freezer into the pot before boiling. Start by using 1 teaspoon of bouillon per 1 cup (250 ml), and adjust from there based on your personal preference."
25,homemade-bouillon-recipe,7.0,28.4,/ 200g carrot,28.07,"Place the first four ingredients in your food processor and pulse about twenty times. Add the next four ingredients, and pulse again. Add the salt, pulse some more. Then add the parsley and cilantro. You may need to scoop some of the chopped vegetables on top of the herbs, so they get chopped. Mine tended to want to stay on top of everything else, initially escaping the blades. You should end up with a moist, loose paste of sorts. Keep 1/4th of it in a jar in the refrigerator for easy access in the coming days, and freeze the remaining 3/4 for use in the next month. Because of all the salt it barely solidifies making it easy to spoon directly from the freezer into the pot before boiling. Start by using 1 teaspoon of bouillon per 1 cup (250 ml), and adjust from there based on your personal preference."
26,homemade-bouillon-recipe,3.5,28.4,/ 100 g celery,28.07,"Place the first four ingredients in your food processor and pulse about twenty times. Add the next four ingredients, and pulse again. Add the salt, pulse some more. Then add the parsley and cilantro. You may need to scoop some of the chopped vegetables on top of the herbs, so they get chopped. Mine tended to want to stay on top of everything else, initially escaping the blades. You should end up with a moist, loose paste of sorts. Keep 1/4th of it in a jar in the refrigerator for easy access in the coming days, and freeze the remaining 3/4 for use in the next month. Because of all the salt it barely solidifies making it easy to spoon directly from the freezer into the pot before boiling. Start by using 1 teaspoon of bouillon per 1 cup (250 ml), and adjust from there based on your personal preference."
27,homemade-bouillon-recipe,3.5,28.4,/ 100g celery root (celeriac),28.07,"Place the first four ingredients in your food processor and pulse about twenty times. Add the next four ingredients, and pulse again. Add the salt, pulse some more. Then add the parsley and cilantro. You may need to scoop some of the chopped vegetables on top of the herbs, so they get chopped. Mine tended to want to stay on top of everything else, initially escaping the blades. You should end up with a moist, loose paste of sorts. Keep 1/4th of it in a jar in the refrigerator for easy access in the coming days, and freeze the remaining 3/4 for use in the next month. Because of all the salt it barely solidifies making it easy to spoon directly from the freezer into the pot before boiling. Start by using 1 teaspoon of bouillon per 1 cup (250 ml), and adjust from there based on your personal preference."
28,homemade-bouillon-recipe,1.0,28.4,/ 30g sun-dried tomatoes,28.07,"Place the first four ingredients in your food processor and pulse about twenty times. Add the next four ingredients, and pulse again. Add the salt, pulse some more. Then add the parsley and cilantro. You may need to scoop some of the chopped vegetables on top of the herbs, so they get chopped. Mine tended to want to stay on top of everything else, initially escaping the blades. You should end up with a moist, loose paste of sorts. Keep 1/4th of it in a jar in the refrigerator for easy access in the coming days, and freeze the remaining 3/4 for use in the next month. Because of all the salt it barely solidifies making it easy to spoon directly from the freezer into the pot before boiling. Start by using 1 teaspoon of bouillon per 1 cup (250 ml), and adjust from there based on your personal preference."
29,homemade-bouillon-recipe,3.5,28.4,/ 100g shallots,28.07,"Place the first four ingredients in your food processor and pulse about twenty times. Add the next four ingredients, and pulse again. Add the salt, pulse some more. Then add the parsley and cilantro. You may need to scoop some of the chopped vegetables on top of the herbs, so they get chopped. Mine tended to want to stay on top of everything else, initially escaping the blades. You should end up with a moist, loose paste of sorts. Keep 1/4th of it in a jar in the refrigerator for easy access in the coming days, and freeze the remaining 3/4 for use in the next month. Because of all the salt it barely solidifies making it easy to spoon directly from the freezer into the pot before boiling. Start by using 1 teaspoon of bouillon per 1 cup (250 ml), and adjust from there based on your personal preference."
30,homemade-bouillon-recipe,3.0,-1.0,medium garlic cloves,28.07,"Place the first four ingredients in your food processor and pulse about twenty times. Add the next four ingredients, and pulse again. Add the salt, pulse some more. Then add the parsley and cilantro. You may need to scoop some of the chopped vegetables on top of the herbs, so they get chopped. Mine tended to want to stay on top of everything else, initially escaping the blades. You should end up with a moist, loose paste of sorts. Keep 1/4th of it in a jar in the refrigerator for easy access in the coming days, and freeze the remaining 3/4 for use in the next month. Because of all the salt it barely solidifies making it easy to spoon directly from the freezer into the pot before boiling. Start by using 1 teaspoon of bouillon per 1 cup (250 ml), and adjust from there based on your personal preference."
31,homemade-bouillon-recipe,9.0,28.4,/ 250g fine grain sea salt,28.07,"Place the first four ingredients in your food processor and pulse about twenty times. Add the next four ingredients, and pulse again. Add the salt, pulse some more. Then add the parsley and cilantro. You may need to scoop some of the chopped vegetables on top of the herbs, so they get chopped. Mine tended to want to stay on top of everything else, initially escaping the blades. You should end up with a moist, loose paste of sorts. Keep 1/4th of it in a jar in the refrigerator for easy access in the coming days, and freeze the remaining 3/4 for use in the next month. Because of all the salt it barely solidifies making it easy to spoon directly from the freezer into the pot before boiling. Start by using 1 teaspoon of bouillon per 1 cup (250 ml), and adjust from there based on your personal preference."
32,homemade-bouillon-recipe,1.5,28.4,/ 40 g flat-leaf parsley,28.07,"Place the first four ingredients in your food processor and pulse about twenty times. Add the next four ingredients, and pulse again. Add the salt, pulse some more. Then add the parsley and cilantro. You may need to scoop some of the chopped vegetables on top of the herbs, so they get chopped. Mine tended to want to stay on top of everything else, initially escaping the blades. You should end up with a moist, loose paste of sorts. Keep 1/4th of it in a jar in the refrigerator for easy access in the coming days, and freeze the remaining 3/4 for use in the next month. Because of all the salt it barely solidifies making it easy to spoon directly from the freezer into the pot before boiling. Start by using 1 teaspoon of bouillon per 1 cup (250 ml), and adjust from there based on your personal preference."
